7583;124660;takeover;1) перенимать  2) захват  3) переворот  4) овладение  5) вступление во владение
2352;64692;nurture;"1) воспитание; обучение  2) (с-х.) выращивание; выведение (породы, сорта)  3) питание, кормление  4) пища, еда; корм   5) воспитывать; обучать  6) (с-х.) выращивать; выводить (породу, сорт)  7) лелеять; питать (привязанность); вынашивать (план)"
1078;57900;mankind;1) человечество, человеческий род  2) мужчины, мужской пол
205;64852;obesity;"тучность, ожирение; чрезмерная полнота"
1571;84291;scenery;"1) (театральные) декорации  2) обстановка; окружение  3) пейзаж, ландшафт; вид"
2331;67050;outbreak;"1) взрыв, вспышка (гнева)  2) начало (внезапное)  3) вспышка (эпидемии)  4) массовое появление (сх вредителей)  5) мятеж, бунт; волнения  6) (геол.) выброс, выход (пласта)"
3539;128640;weak-willed;бесхарактерный
1500;106366;vulgar;"1) (the vulgar) (уст.) (презр.) толпа, чернь  2) вульгарный; грубый; развязный, противоречащий общепринятым нормам поведения  3) лишенный тонкости, изящества; пошлый; мещанский  4) неоригинальный, заурядный, избитый, тривиальный  5) относящийся к простым людям  6) народный; общенародный, национальный; родной (о языке)  7) широко распространенный "
557;105368;vengeful;1) мстительный  2) мстящий
5805;101169;trustworthy;"1) заслуживающий доверия; надежный  2) точный, соответствующий действительности (о заявлении и т. п.)"
3034;98326;tidy;"1) опрятный, аккуратный; чистый  2) (разг.) значительный; приличный, порядочный  3) (диал.) в хорошем состоянии; приятный на вид, здоровый, цветущий; толстый, пухленький  4) в грам. знач. нареч.: опрятно, чисто  5) (тж. tidy up) прибирать, приводить в порядок  6) прибираться  7) убирать, ставить на место (тж. tidy up)  8) мешочек для лоскутов и всякой всячины  9) салфеточка (на спинке мягкой мебели, на столе)  10) (диал.) детский передничек"
2122;80560;reliable;"1) надежный  2) заслуживающий доверия; достоверный  3) (тех.) надежный в работе или эксплуатации"
1628;103626;unkind;1) недобрый, злой  2) (уст.) (ам.) немягкий, суровый (о климате и т. п.)
5705;101069;truculent;1) свирепый, жестокий  2) агрессивный, воинственный  3) разрушительный, смертоносный  4) грубый, резкий, язвительный (особ. о речи, стиле)  5) вызывающий, агрессивный (о тоне)  6) низкий, продажный
2612;97890;thoughtless;"1) бездумный, беспечный; неосмотрительный, неразумный, неосторожный  2) не думающий; не подумавший  3) (of) не думающий, не подозревающий, не ведающий (о чем-л.)  4) глупый  5) (of) невнимательный (к людям); эгоистичный"
4158;99488;touchy;"1) обидчивый; раздражительный  2) повышенно чувствительный  3) щекотливый, деликатный  4) больной, наболевший  5) рискованный, опасный  6) легковоспламеняющийся  7) сделанный мелкими штрихами"
3300;98594;timid;"1) застенчивый; неуверенный, робкий  2) пугливый "
408;95584;tactless;бестактный
11291;94376;superficial;1) поверхностный, неглубокий  2) поверхностный, несерьезный, неосновательный  3) внешний, кажущийся  4) (геол.) наносный, аллювиальный  5) (спец.) двухмерный
13242;118595;stubborn;1) упрямый, неподатливый  2) упорный  3) тяжелый, неподатливый 
9560;92608;stingy;1) жалящий  2) скупой, скаредный  3) скудный, ограниченный
6425;89359;sneaky;1) подлый  2) трусливый  3) раболепный, угодливый
5039;87919;silly;"1) (разг.) глупыш; несмышленыш  2) неумный, неразумный; глупый  3) (разг.) одуревший, ничего не соображающий (от удара)  4) (over) влюбленный по уши  5) (шотл.) слабый, болезненный; беспомощный  6) (шотл.) жалкий, ничтожный  7) (редк.) слабоумный, умственно отсталый  8) оглушать, ошеломлять"
2840;85631;self-indulgent;потворствующий, потакающий своим желаниям
14990;135706;self-centered;эгоцентричный
2989;85642;selfish;эгоистичный, эгоистический, себялюбивый
2415;85190;secretive;скрытный, замкнутый
1146;83838;sarcastic;саркастический, насмешливый, язвительный, колкий
2595;81041;resentful;"1) обиженный; возмущенный  2) обидчивый"
364;78394;quick-tempered;вспыльчивый, раздражительный
194;78196;quarrelsome;"вздорный; придирчивый; задиристый; сварливый"
9670;77767;pusillanimous;(книж.) малодушный, трусливый
3280;71128;pessimistic, pessimistical;пессимистический
3261;71109;perverse;"1) порочный, извращенный; испорченный  2) упрямый, упорствующий (в своей неправоте)  3) несговорчивый, капризный, своенравный  4) неправильный, нарушающий нормы  5) превратный, ошибочный"
1942;69736;patronize;1) покровительствовать, опекать  2) относиться свысока, покровительственно, снисходительно  3) (разг.) оказывать частную финансовую поддержку (магазину, предприятию и т. п.)  4) (разг.) быть постоянным посетителем, клиентом
1478;69253;parsimonious;"1) бережливый, экономный; скупой  2) жалкий, бедный, скудный"
